Node,"Local Authority","EV strategy","Fleet Engagement","Fleet Resources",Email,"Percentage Yes","Percentage No","Percentage in draft","Clear engagement","No evidence of engagement","Some/limited engagement","Clear contact and no support materials/process","Clear contact and support materials/process","No clear contact and no support materials/process","No clear contact and support materials/process"
"Manchester, Gorton",Manchester,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Burnley,Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Chelmsford,Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Beverley and Holderness","East Riding of Yorkshire",Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Bath,"Bath and North East Somerset",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",alex_rowbotham@bathnes.gov.uk,37,31,32,3,40,57,17,21,33,29
"City of Chester","Cheshire West and Chester","In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"North Herefordshire","Herefordshire County of","In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Rugby,Warwickshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",tpu@warwickshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Castle Point",Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Camborne and Redruth",Cornwall,"In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",driveev2@cornwall.gov.uk,37,31,32,3,40,57,17,21,33,29
"Ayr, Carrick and Cumnock","South Ayrshire",Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Bassetlaw,Nottinghamshire,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"West Bromwich East",Sandwell,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Kester.sleeman@blackcountrytransport.org.uk,37,31,32,3,40,57,17,21,33,29
"Feltham and Heston",Hounslow,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",Alexandra.crush@hounslow.gov.uk,37,31,32,3,40,57,17,21,33,29
Broxtowe,Nottinghamshire,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Berwick-upon-Tweed,Northumberland,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Dulwich and West Norwood",Lambeth,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"South West Norfolk",Norfolk,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Watford,Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Stone,Staffordshire,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",marc.stanway@staffordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Elmet and Rothwell",Leeds,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Carlisle,Cumbria,No,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Thornbury and Yate","South Gloucestershire","In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",Christina.Wilson@southglos.gov.uk,37,31,32,3,40,57,17,21,33,29
Jarrow,"South Tyneside","In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Warley,Sandwell,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Kester.sleeman@blackcountrytransport.org.uk,37,31,32,3,40,57,17,21,33,29
"Bristol North West","Bristol City of",No,"Substantial evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Central Suffolk and North Ipswich",Suffolk,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",creatinggreenestcounty@suffolk.gov.uk,37,31,32,3,40,57,17,21,33,29
"South West Devon",Devon,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bolton North East",Bolton,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Crewe and Nantwich","Cheshire East","In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",richard.hibbert@cheshireeast.gov.uk.,37,31,32,3,40,57,17,21,33,29
"Stalybridge and Hyde",Tameside,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Brentwood and Ongar",Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Lagan Valley","Lisburn and Castlereagh",No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Mansfield,Nottinghamshire,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Leicester West",Leicester,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"South East Cambridgeshire",Cambridgeshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Glenrothes,Fife,"In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jane.findlay@fife.gov.uk,37,31,32,3,40,57,17,21,33,29
"York Outer",York,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact but no support materials/process",andrew.leadbetter@york.gov.uk,37,31,32,3,40,57,17,21,33,29
Wealden,"East Sussex",No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Blackley and Broughton",Manchester,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Spelthorne,Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
Tooting,Wandsworth,Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Newton Abbot",Devon,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Belfast North",Belfast,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Gower,Swansea,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",ZeroEmissionTransport@swansea.gov.uk,37,31,32,3,40,57,17,21,33,29
"Ellesmere Port and Neston","Cheshire West and Chester","In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Shrewsbury and Atcham",Shropshire,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Mid Derbyshire",Derbyshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Daniel.McCrory@derbyshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Hemsworth,Wakefield,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Dorset",Dorset,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricvehicles@dorsetcouncil.gov.uk,37,31,32,3,40,57,17,21,33,29
"North East Derbyshire",Derbyshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Daniel.McCrory@derbyshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Carmarthen East and Dinefwr",Carmarthenshire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",tjevans@carmarthenshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Stockport,Stockport,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Vauxhall,Lambeth,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Dwyfor Meirionnydd",Gwynedd,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Hornchurch and Upminster",Havering,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Glasgow East","Glasgow City",Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",EVCharging@glasgow.gov.uk,37,31,32,3,40,57,17,21,33,29
"Lancaster and Fleetwood",Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"East Devon",Devon,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Westminster North",Westminster,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Newcastle-under-Lyme,Staffordshire,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",marc.stanway@staffordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Wirral West",Wirral,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",damian.garner@wirral.gov.uk,37,31,32,3,40,57,17,21,33,29
"Islington South and Finsbury",Islington,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",EVcharging@islington.gov.uk.,37,31,32,3,40,57,17,21,33,29
Monmouth,Monmouthshire,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Bolsover,Derbyshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Daniel.McCrory@derbyshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Morley and Outwood",Leeds,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"New Forest East",Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Stockton South",Stockton-on-Tees,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Mid Dorset and North Poole",Dorset,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricvehicles@dorsetcouncil.gov.uk,37,31,32,3,40,57,17,21,33,29
"Hemel Hempstead",Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Dudley North",Dudley,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Southampton, Test",Southampton,"In draft","No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",electric.vehicles@southampton.gov.uk,37,31,32,3,40,57,17,21,33,29
"Old Bexley and Sidcup",Bexley,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"North Shropshire",Shropshire,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
